,date,open,high,low,close,adjusted_close,volume
0,2010-01-04,18.51,18.62,18.11,18.49,0.4239,800352792
1,2010-01-05,18.42,18.96,18.42,18.76,0.4301,728697553
2,2010-01-06,18.75,18.92,18.57,18.88,0.4328,649166794
3,2010-01-07,18.78,18.86,18.37,18.51,0.4244,547790035
4,2010-01-08,18.36,18.682,18.25,18.55,0.4253,478175995
5,2010-01-11,18.65,18.73,18.03,18.29,0.4193,556655154
6,2010-01-12,18.02,18.09,17.29,17.67,0.4051,627488754
7,2010-01-13,17.79,17.97,17.1,17.91,0.4106,508945195
8,2010-01-14,17.69,17.82,17.33,17.63,0.4042,608803194
9,2010-01-15,17.5,17.65,16.88,17.11,0.3923,818248832
10,2010-01-19,16.98,17.54,16.93,17.43,0.3996,545334035
11,2010-01-20,17.21,17.43,16.98,17.355,0.3979,719737953
12,2010-01-21,17.35,17.66,16.89,17.05,0.3909,608631634
13,2010-01-22,16.85,17.16,16.36,16.46,0.3774,1067982789
14,2010-01-25,16.73,17.06,16.61,16.74,0.3838,643673594
15,2010-01-26,16.66,16.77,16.2,16.21,0.3716,714692793
16,2010-01-27,16.2,16.71,16.02,16.65,0.3817,812530792
17,2010-01-28,16.78,16.84,15.86,16.09,0.3689,687817553
18,2010-01-29,16.27,16.45,15.15,15.39,0.3528,774707552
19,2010-02-01,15.45,16.6,15.32,16.57,0.3799,949829591
20,2010-02-02,16.51,16.95,16.46,16.74,0.3838,849812032
21,2010-02-03,16.59,16.95,16.51,16.88,0.387,562298834
22,2010-02-04,16.73,16.73,15.72,15.9,0.3645,783477192
23,2010-02-05,15.88,16.26,15.6,16.22,0.3719,604852794
24,2010-02-08,16.17,16.58,15.873,16.19,0.3712,445164396
25,2010-02-09,16.45,16.53,15.9,16.06,0.3682,930159991
26,2010-02-10,16.16,16.52,16.05,16.37,0.3753,535824395
27,2010-02-11,16.63,17.3,16.51,17.12,0.3925,696002033
28,2010-02-12,17.0,17.7,16.805,17.35,0.3978,780215232
29,2010-02-16,17.58,17.74,17.37,17.67,0.4051,457183595
30,2010-02-17,17.89,17.9,17.325,17.84,0.409,876556391
31,2010-02-18,16.86,16.95,16.21,16.67,0.3822,1515759985
32,2010-02-19,16.6,16.78,16.5,16.58,0.3801,510624395
33,2010-02-22,16.65,16.9,16.5,16.61,0.3808,458122395
34,2010-02-23,16.66,16.73,16.04,16.21,0.3716,489775995
35,2010-02-24,16.35,16.71,16.3,16.55,0.3794,445914396
36,2010-02-25,16.17,16.44,15.76,16.4,0.376,576968754
37,2010-02-26,16.32,16.44,16.1,16.2,0.3714,393415916
38,2010-03-01,16.21,16.93,16.08,16.85,0.3863,555868434
39,2010-03-02,17.0,17.21,16.72,16.84,0.3861,538681235
40,2010-03-03,16.94,17.03,16.49,16.63,0.3813,399297636
41,2010-03-04,16.7,16.83,16.45,16.66,0.382,557459954
42,2010-03-05,16.54,17.29,16.54,17.17,0.3936,632899594
43,2010-03-08,17.18,17.23,16.85,16.92,0.3879,439351196
44,2010-03-09,17.09,17.72,17.08,17.55,0.4024,830957952
45,2010-03-10,17.5,17.78,17.49,17.59,0.4033,418570396
46,2010-03-11,17.45,17.51,17.12,17.19,0.3941,540657235
47,2010-03-12,17.38,17.43,17.16,17.25,0.3955,520349595
48,2010-03-15,17.23,17.4,17.0,17.16,0.3934,358911916
49,2010-03-16,17.15,17.86,17.14,17.755,0.4071,665002033
50,2010-03-17,17.86,18.34,17.86,18.1,0.415,651198033
51,2010-03-18,18.13,18.13,17.3,17.46,0.4003,741023193
52,2010-03-19,17.72,17.77,17.03,17.25,0.3955,584633234
